event,homeTeam,standardPoint,awayTeam,gameType,winDistribute,drawDistribute,loseDistribute,finalScore,gameResult
EPL,본머스  ,, 크리스털,일반,승2.65,무2.95,패2.38,0 : 2,패
EPL,본머스  ,H +1.0, 크리스털,핸디캡,승1.47,무3.90,패5.00,1 : 2,패
EPL,본머스  ,U/O 2.5, 크리스털,언더오버,U1.60,-,O1.96,2,U
EPL,풀럼    ,, 사우샘프,일반,승1.73,무3.40,패3.80,2 : 1,승
EPL,풀럼    ,H -1.0, 사우샘프,핸디캡,승2.95,무3.50,패1.95,1 : 1,무
EPL,풀럼    ,U/O 2.5, 사우샘프,언더오버,U1.90,-,O1.64,3,O
EPL,맨체스C ,, 에버턴  ,일반,승1.09,무6.80,패14.00,1 : 1,무
EPL,맨체스C ,H -1.0, 에버턴  ,핸디캡,승1.36,무4.30,패5.90,0 : 1,패
EPL,맨체스C ,H -2.5, 에버턴  ,핸디캡,승1.79,-,패1.73,-1.5 : 1,패
EPL,맨체스C ,U/O 3.5, 에버턴  ,언더오버,U1.75,-,O1.77,2,U
EPL,뉴캐슬  ,, 리즈    ,일반,승1.39,무4.05,패5.90,0 : 0,무
EPL,뉴캐슬  ,H -1.0, 리즈    ,핸디캡,승2.00,무3.50,패2.85,-1 : 0,패
EPL,뉴캐슬  ,H -2.5, 리즈    ,핸디캡,승3.46,-,패1.18,-2.5 : 0,패
EPL,뉴캐슬  ,U/O 2.5, 리즈    ,언더오버,U1.99,-,O1.58,0,U
라리가,소시에다,, 오사수나,일반,승1.81,무3.30,패3.55,2 : 0,승
라리가,소시에다,H -1.0, 오사수나,핸디캡,승3.55,무3.35,패1.80,1 : 0,승
라리가,소시에다,U/O 2.5, 오사수나,언더오버,U1.50,-,O2.13,2,U
라리가,비야레알,, 발렌시아,일반,승1.82,무3.20,패3.65,2 : 1,승
라리가,비야레알,H -1.0, 발렌시아,핸디캡,승3.80,무3.50,패1.70,1 : 1,무
라리가,비야레알,U/O 2.5, 발렌시아,언더오버,U1.77,-,O1.75,3,O
EPL,브라이턴,, 아스널  ,일반,승3.25,무3.40,패1.87,2 : 4,패
EPL,브라이턴,H +1.0, 아스널  ,핸디캡,승1.70,무3.60,패3.70,3 : 4,패
EPL,브라이턴,U/O 2.5, 아스널  ,언더오버,U1.79,-,O1.73,6,O
NBA,인디페이,, LA클리퍼,일반,승2.17,-,패1.48,131 : 130,승
NBA,인디페이,H +3.5, LA클리퍼,핸디캡,승1.79,-,패1.73,134.5 : 130,승
NBA,인디페이,U/O 230.5, LA클리퍼,언더오버,U1.73,-,O1.79,261,O
NBA,샬럿호네,, 브루네츠,일반,승2.82,-,패1.28,106 : 123,패
NBA,샬럿호네,H +7.5, 브루네츠,핸디캡,승1.80,-,패1.72,113.5 : 123,패
NBA,샬럿호네,H +6.5, 브루네츠,핸디캡,승1.76,-,패1.76,112.5 : 123,패
NBA,샬럿호네,U/O 234.5, 브루네츠,언더오버,U1.74,-,O1.78,229,U
NBA,샬럿호네,U/O 236.5, 브루네츠,언더오버,U1.74,-,O1.78,229,U
NBA,시카불스,, 클리캐벌,일반,승1.81,-,패1.71,102 : 103,패
NBA,시카불스,H +3.5, 클리캐벌,핸디캡,승1.82,-,패1.70,105.5 : 103,승
NBA,시카불스,H +2.5, 클리캐벌,핸디캡,승1.80,-,패1.72,104.5 : 103,승
NBA,시카불스,H +1.5, 클리캐벌,핸디캡,승1.74,-,패1.78,103.5 : 103,승
NBA,시카불스,U/O 224.5, 클리캐벌,언더오버,U1.81,-,O1.71,205,U
NBA,휴스로케,, 뉴욕닉스,일반,승2.29,-,패1.43,88 : 108,패
NBA,휴스로케,H +4.5, 뉴욕닉스,핸디캡,승1.73,-,패1.79,92.5 : 108,패
NBA,휴스로케,U/O 225.5, 뉴욕닉스,언더오버,U1.74,-,O1.78,196,U
NBA,휴스로케,U/O 220.5, 뉴욕닉스,언더오버,U1.74,-,O1.78,196,U
NBA,휴스로케,U/O 227.5, 뉴욕닉스,언더오버,U1.74,-,O1.78,196,U
NBA,휴스로케,U/O 223.5, 뉴욕닉스,언더오버,U1.74,-,O1.78,196,U
NBA,샌안스퍼,, 댈러매버,일반,승3.09,-,패1.23,125 : 126,패
NBA,샌안스퍼,H +8.5, 댈러매버,핸디캡,승1.74,-,패1.78,133.5 : 126,승
NBA,샌안스퍼,H +7.5, 댈러매버,핸디캡,승1.72,-,패1.80,132.5 : 126,승
NBA,샌안스퍼,U/O 229.5, 댈러매버,언더오버,U1.73,-,O1.79,251,O
NBA,샌안스퍼,U/O 223.5, 댈러매버,언더오버,U1.73,-,O1.79,251,O
NBA,샌안스퍼,U/O 226.5, 댈러매버,언더오버,U1.73,-,O1.79,251,O
NBA,샌안스퍼,U/O 231.5, 댈러매버,언더오버,U1.73,-,O1.79,251,O
NBA,멤피그리,, 뉴올펠리,일반,승1.35,-,패2.53,116 : 101,승
NBA,멤피그리,H -5.5, 뉴올펠리,핸디캡,승1.78,-,패1.74,110.5 : 101,승
NBA,멤피그리,U/O 232.5, 뉴올펠리,언더오버,U1.73,-,O1.79,217,U
NBA,멤피그리,U/O 236.5, 뉴올펠리,언더오버,U1.73,-,O1.79,217,U
NBA,미네울브,, 디트피스,일반,승1.23,-,패3.09,104 : 116,패
NBA,미네울브,H -5.5, 디트피스,핸디캡,승1.76,-,패1.76,98.5 : 116,패
NBA,미네울브,H -7.5, 디트피스,핸디캡,승1.76,-,패1.76,96.5 : 116,패
NBA,미네울브,U/O 231.5, 디트피스,언더오버,U1.77,-,O1.75,220,U
NBA,미네울브,U/O 232.5, 디트피스,언더오버,U1.77,-,O1.75,220,U
NBA,오클썬더,, 필라76s ,일반,승1.94,-,패1.61,96 : 115,패
NBA,오클썬더,H +4.5, 필라76s ,핸디캡,승1.81,-,패1.71,100.5 : 115,패
NBA,오클썬더,H +3.5, 필라76s ,핸디캡,승1.76,-,패1.76,99.5 : 115,패
NBA,오클썬더,H +2.5, 필라76s ,핸디캡,승1.73,-,패1.79,98.5 : 115,패
NBA,오클썬더,U/O 231.5, 필라76s ,언더오버,U1.74,-,O1.78,211,U
NBA,오클썬더,U/O 225.5, 필라76s ,언더오버,U1.74,-,O1.78,211,U
NBA,유타재즈,, 마이히트,일반,승1.46,-,패2.22,123 : 126,패
NBA,유타재즈,H -2.5, 마이히트,핸디캡,승1.73,-,패1.79,120.5 : 126,패
NBA,유타재즈,H -3.5, 마이히트,핸디캡,승1.70,-,패1.82,119.5 : 126,패
NBA,유타재즈,U/O 225.5, 마이히트,언더오버,U1.75,-,O1.77,249,O
NBA,유타재즈,U/O 223.5, 마이히트,언더오버,U1.75,-,O1.77,249,O
NBA,유타재즈,U/O 224.5, 마이히트,언더오버,U1.75,-,O1.77,249,O
A리그,뉴캐제츠,, 시드니FC,일반,승3.10,무3.55,패1.88,0 : 2,패
A리그,뉴캐제츠,H +1.0, 시드니FC,핸디캡,승1.77,무3.80,패3.25,1 : 2,패
A리그,뉴캐제츠,U/O 2.5, 시드니FC,언더오버,U2.11,-,O1.51,2,U
KBL,고양캐롯,, KT소닉붐,일반,승1.85,-,패1.68,77 : 90,패
KBL,고양캐롯,H +1.5, KT소닉붐,핸디캡,승1.75,-,패1.77,78.5 : 90,패
KBL,고양캐롯,U/O 163.5, KT소닉붐,언더오버,U1.81,-,O1.71,167,O
KBL,고양캐롯,U/O 164.5, KT소닉붐,언더오버,U1.81,-,O1.71,167,O
KBL,서울삼성,, 서울SK  ,일반,승2.64,-,패1.32,67 : 86,패
KBL,서울삼성,H +4.5, 서울SK  ,핸디캡,승1.82,-,패1.70,71.5 : 86,패
KBL,서울삼성,H +5.5, 서울SK  ,핸디캡,승1.82,-,패1.70,72.5 : 86,패
KBL,서울삼성,U/O 161.5, 서울SK  ,언더오버,U1.81,-,O1.71,153,U
KOVO남,OK금융  ,, 대한항공,일반,승2.87,-,패1.27,3 : 0,승
KOVO남,OK금융  ,H +1.5, 대한항공,핸디캡,승1.91,-,패1.63,4.5 : 0,승
KOVO남,OK금융  ,U/O 182.5, 대한항공,언더오버,U1.84,-,O1.69,148,U
A리그,웨스원더,, 맥아서FC,일반,승1.85,무3.40,패3.30,4 : 0,승
A리그,웨스원더,H -1.0, 맥아서FC,핸디캡,승3.10,무3.60,패1.87,3 : 0,승
A리그,웨스원더,U/O 2.5, 맥아서FC,언더오버,U1.90,-,O1.64,4,O
KBL,창원LG  ,, 울산모비,일반,승1.62,-,패1.93,73 : 77,패
KBL,창원LG  ,H -1.5, 울산모비,핸디캡,승1.71,-,패1.81,71.5 : 77,패
KBL,창원LG  ,U/O 159.5, 울산모비,언더오버,U1.77,-,O1.75,150,U
KBL,창원LG  ,U/O 160.5, 울산모비,언더오버,U1.77,-,O1.75,150,U
KOVO여,IBK기업 ,, 현대건설,일반,승2.09,-,패1.52,0 : 3,패
KOVO여,IBK기업 ,H +1.5, 현대건설,핸디캡,승1.61,-,패1.94,1.5 : 3,패
KOVO여,IBK기업 ,U/O 183.5, 현대건설,언더오버,U1.87,-,O1.66,133,U
EPL,토트넘  ,, 애스턴  ,일반,승1.51,무3.70,패4.90,0 : 2,패
EPL,토트넘  ,H -1.0, 애스턴  ,핸디캡,승2.50,무3.45,패2.24,-1 : 2,패
EPL,토트넘  ,U/O 2.5, 애스턴  ,언더오버,U1.96,-,O1.60,2,U
프리그1,앙제SCO ,, 로리앙  ,일반,승2.40,무3.35,패2.37,1 : 2,패
프리그1,앙제SCO ,H +1.0, 로리앙  ,핸디캡,승1.44,무4.15,패5.00,2 : 2,무
프리그1,앙제SCO ,U/O 2.5, 로리앙  ,언더오버,U1.71,-,O1.81,3,O
프리그1,AS모나코,, 브레스투,일반,승1.34,무4.35,패6.20,1 : 0,승
프리그1,AS모나코,H -1.0, 브레스투,핸디캡,승2.06,무3.65,패2.65,0 : 0,무
프리그1,AS모나코,H -2.5, 브레스투,핸디캡,승3.46,-,패1.18,-1.5 : 0,패
프리그1,AS모나코,U/O 3.5, 브레스투,언더오버,U1.50,-,O2.13,1,U
프리그1,낭트    ,, 오세르  ,일반,승1.80,무3.35,패3.55,1 : 0,승
프리그1,낭트    ,H -1.0, 오세르  ,핸디캡,승3.30,무3.40,패1.85,0 : 0,무
프리그1,낭트    ,U/O 2.5, 오세르  ,언더오버,U1.77,-,O1.75,1,U
프리그1,툴루즈  ,, AC아작  ,일반,승1.96,무3.10,패3.30,2 : 0,승
프리그1,툴루즈  ,H -1.0, AC아작  ,핸디캡,승3.65,무3.60,패1.71,1 : 0,승
프리그1,툴루즈  ,U/O 2.5, AC아작  ,언더오버,U1.69,-,O1.84,2,U
