종목,홈팀,기준점,원정팀,게임유형,승,무,패,최종스코어,경기결과
NBA,토론랩터,U/O 225.5, 밀워벅스,언더오버,U1.74,-,O1.78,205,U
NBA,시카불스,, 브루네츠,일반,승2.40,-,패1.39,121 : 112,승
NBA,시카불스,H +4.5, 브루네츠,핸디캡,승1.85,-,패1.68,125.5 : 112,승
NBA,시카불스,H +5.5, 브루네츠,핸디캡,승1.79,-,패1.73,126.5 : 112,승
NBA,시카불스,U/O 234.5, 브루네츠,언더오버,U1.76,-,O1.76,233,U
NBA,미네울브,, 포틀트레,일반,승1.87,-,패1.66,113 : 106,승
NBA,미네울브,H -1.5, 포틀트레,핸디캡,승1.77,-,패1.75,111.5 : 106,승
NBA,미네울브,H +1.5, 포틀트레,핸디캡,승1.79,-,패1.73,114.5 : 106,승
NBA,미네울브,U/O 230.5, 포틀트레,언더오버,U1.75,-,O1.77,219,U
NBA,미네울브,U/O 234.5, 포틀트레,언더오버,U1.75,-,O1.77,219,U
NBA,뉴올펠리,, 휴스로케,일반,승1.21,-,패3.23,119 : 108,승
NBA,뉴올펠리,H -7.5, 휴스로케,핸디캡,승1.74,-,패1.78,111.5 : 108,승
NBA,뉴올펠리,U/O 228.5, 휴스로케,언더오버,U1.78,-,O1.74,227,U
NBA,골든워리,, 디트피스,일반,승1.24,-,패3.03,119 : 122,패
NBA,골든워리,H -7.5, 디트피스,핸디캡,승1.81,-,패1.71,111.5 : 122,패
NBA,골든워리,U/O 233.5, 디트피스,언더오버,U1.75,-,O1.77,241,O
NBA,LA레이커,, 마이히트,일반,승3.30,-,패1.20,112 : 109,승
NBA,LA레이커,H +4.5, 마이히트,핸디캡,승1.75,-,패1.77,116.5 : 109,승
NBA,LA레이커,H +7.5, 마이히트,핸디캡,승1.81,-,패1.71,119.5 : 109,승
NBA,LA레이커,U/O 227.5, 마이히트,언더오버,U1.75,-,O1.77,221,U
NBA,LA레이커,U/O 229.5, 마이히트,언더오버,U1.75,-,O1.77,221,U
NBA,LA레이커,U/O 225.5, 마이히트,언더오버,U1.75,-,O1.77,221,U
NBA,새크킹스,, 애틀호크,일반,승1.67,-,패1.86,117 : 120,패
NBA,새크킹스,H -1.5, 애틀호크,핸디캡,승1.75,-,패1.77,115.5 : 120,패
